Games Played,Win Rate %,Rank,Level,Average Enemy Rating,Kills,Deaths,Assists,Favorite Role,is favorite Kai'Sa,is favorite Jhin,is favorite Yone,is favorite Lee Sin,is favorite Ezreal,is favorite Caitlyn,is favorite Viego,is favorite Thresh,is favorite Yasuo,is favorite Lux,is favorite Jinx,is favorite Ashe,is favorite Sylas,is favorite Ahri,is favorite Lulu,is favorite Smolder,is favorite Graves,is favorite Hwei,is favorite Nautilus,is favorite Volibear,is favorite Aatrox,is favorite Jax,is favorite Syndra,is favorite Lucian,is favorite Nami,is favorite Senna,is favorite Gragas,is favorite Leona,is favorite Zed,is favorite Nocturne,is favorite Teemo,is favorite Jarvan IV,is favorite Rell,is favorite Akali,is favorite Diana,is favorite Xerath,is favorite K'Sante,is favorite LeBlanc,is favorite Kha'Zix,is favorite Gwen,is favorite Karma,is favorite Orianna,is favorite Poppy,is favorite Camille,is favorite Nasus,is favorite Pyke,is favorite Miss Fortune,is favorite Darius,is favorite Mordekaiser,is favorite Veigar,is favorite Zac,is favorite Kayn,is favorite Aurora,is favorite Aphelios,is favorite Riven,is favorite Garen,is favorite Vayne,is favorite Shaco,is favorite Renekton,is favorite Vi,is favorite Brand,is favorite Shen,is favorite Blitzcrank,is favorite Skarner,is favorite Warwick,is favorite Seraphine,is favorite Malphite,is favorite Braum,is favorite Lillia,is favorite Varus,is favorite Galio,is favorite Morgana,is favorite Pantheon,is favorite Katarina,is favorite Gnar,is favorite Draven,is favorite Milio,is favorite Amumu,is favorite Vladimir,is favorite Tahm Kench,is favorite Sett,is favorite Ekko,is favorite Elise,is favorite Yuumi,is favorite Udyr,is favorite Irelia,is favorite Samira,is favorite Neeko,is favorite Dr. Mundo,is favorite Master Yi,is favorite Sona,is favorite Alistar,is favorite Vex,is favorite Sejuani,is favorite Ornn,is favorite Ziggs,is favorite Malzahar,is favorite Rakan,is favorite Kog'Maw,is favorite Xayah,is favorite Wukong,is favorite Swain,is favorite Soraka,is favorite Nidalee,is favorite Nunu & Willump,is favorite Jayce,is favorite Fiddlesticks,is favorite Lissandra,is favorite Yorick,is favorite Zyra,is favorite Zeri,is favorite Aurelion Sol,is favorite Sion,is favorite Illaoi,is favorite Janna,is favorite Kalista,is favorite Fiora,is favorite Tristana,is favorite Vel'Koz,is favorite Twitch,is favorite Hecarim,is favorite Cho'Gath,is favorite Briar,is favorite Taliyah,is favorite Gangplank,is favorite Bard,is favorite Talon,is favorite Karthus,is favorite Nilah,is favorite Zoe,is favorite Ryze,is favorite Xin Zhao,is favorite Anivia,is favorite Fizz,is favorite Viktor,is favorite Shyvana,is favorite Tryndamere,is favorite Twisted Fate,is favorite Kennen,is favorite Zilean,is favorite Urgot,is favorite Trundle,is favorite Rengar,is favorite Kassadin,is favorite Evelynn,is favorite Sivir,is favorite Kindred,is favorite Cassiopeia,is favorite Bel'Veth,is favorite Maokai,is favorite Rumble,is favorite Kayle,is favorite Rammus,is favorite Taric,is favorite Renata Glasc,is favorite Azir,is favorite Olaf,is favorite Singed,is favorite Qiyana,is favorite Naafiri,is favorite Annie,is favorite Heimerdinger,is favorite Ivern,is favorite Akshan,is favorite Kled,is favorite Rek'Sai,is favorite Quinn,is favorite Corki
0.463,0.59,1,0.071,2,0.112,0.276,0.5,Поддержка,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.469,0.591,1,0.068,2,0.312,0.337,0.19,Бот,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.415,0.59,1,0.034,5,0.475,0.184,0.168,Мид,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.488,0.602,1,0.297,3,0.187,0.265,0.363,Топ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.473,0.598,1,0.257,2,0.05,0.286,0.478,Поддержка,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,0.638,1,0.189,3,0.45,0.204,0.186,Лес,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.757,1,0.014,8,0.594,0.408,0.363,Мид,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.692,0.54,1,0.029,2,0.312,0.214,0.204,Мид,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.572,0.582,1,0.071,4,0.4,0.286,0.204,Мид,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.707,0.546,1,0.306,2,0.363,0.286,0.235,Лес,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
