Rating,Name,URL
77,حمزة#NA2,/ru/summoner/na/%D8%AD%D9%85%D8%B2%D8%A9-NA2
78,PositiveThinker9#G59,/ru/summoner/euw/PositiveThinker9-G59
79,해 태#HLE,/ru/summoner/kr/%ED%95%B4+%ED%83%9C-HLE
80,0o0u0o0#TW2,/ru/summoner/tw/0o0u0o0-TW2
81,Aithusa#lol,/ru/summoner/br/Aithusa-lol
82,JOL88#QQQ,/ru/summoner/kr/JOL88-QQQ
83,NattyNatt#2005,/ru/summoner/euw/NattyNatt-2005
84,Falling Flower#SVT13,/ru/summoner/euw/Falling+Flower-SVT13
85,是缘总会圆#yue,/ru/summoner/kr/%E6%98%AF%E7%BC%98%E6%80%BB%E4%BC%9A%E5%9C%86-yue
86,my sweetie#uwu,/ru/summoner/vn/my+sweetie-uwu
87,نسيني الدنيا#ARAB,/ru/summoner/oce/%D9%86%D8%B3%D9%8A%D9%86%D9%8A+%D8%A7%D9%84%D8%AF%D9%86%D9%8A%D8%A7-ARAB
88,韩服剧组亲妈死绝#Zwuji,/ru/summoner/kr/%E9%9F%A9%E6%9C%8D%E5%89%A7%E7%BB%84%E4%BA%B2%E5%A6%88%E6%AD%BB%E7%BB%9D-Zwuji
89,海牛阿福的勇士#666,/ru/summoner/kr/%E6%B5%B7%E7%89%9B%E9%98%BF%E7%A6%8F%E7%9A%84%E5%8B%87%E5%A3%AB-666
90,TT HOYA#HOYA,/ru/summoner/kr/TT+HOYA-HOYA
91,Secret#BLG,/ru/summoner/kr/Secret-BLG
92,senzawa#JP1,/ru/summoner/jp/senzawa-JP1
93,dydwns7667#11111,/ru/summoner/kr/dydwns7667-11111
94,千个伤心的理由 2#9999,/ru/summoner/vn/%E5%8D%83%E4%B8%AA%E4%BC%A4%E5%BF%83%E7%9A%84%E7%90%86%E7%94%B1+2-9999
95,Burrito#7777,/ru/summoner/las/Burrito-7777
96,youfallyougetup#MKOI,/ru/summoner/euw/youfallyougetup-MKOI
97,FlyFisherDuck32#Bait,/ru/summoner/euw/FlyFisherDuck32-Bait
98,Morgan#5358,/ru/summoner/kr/Morgan-5358
99,Bob The Blender#TIER3,/ru/summoner/eune/Bob+The+Blender-TIER3
100,Rter#2005,/ru/summoner/euw/Rter-2005
101,차가운코끼리#KR0,/ru/summoner/kr/%EC%B0%A8%EA%B0%80%EC%9A%B4%EC%BD%94%EB%81%BC%EB%A6%AC-KR0
102,Faker#031,/ru/summoner/sg/Faker-031
103,CNLL#7722,/ru/summoner/kr/CNLL-7722
104,张牧橙z#张牧橙,/ru/summoner/kr/%E5%BC%A0%E7%89%A7%E6%A9%99z-%E5%BC%A0%E7%89%A7%E6%A9%99
105,Kick Manolito#KICK,/ru/summoner/las/Kick+Manolito-KICK
106,VIT top boy#lync1,/ru/summoner/euw/VIT+top+boy-lync1
107,두려워배알#6894,/ru/summoner/kr/%EB%91%90%EB%A0%A4%EC%9B%8C%EB%B0%B0%EC%95%8C-6894
108,샹크스#0429,/ru/summoner/kr/%EC%83%B9%ED%81%AC%EC%8A%A4-0429
109,Lovepanpan#KR1,/ru/summoner/kr/Lovepanpan-KR1
110,zJyy#yyy,/ru/summoner/euw/zJyy-yyy
111,도천지#KR1,/ru/summoner/kr/%EB%8F%84%EC%B2%9C%EC%A7%80-KR1
112,seaz test acc#EUW,/ru/summoner/euw/seaz+test+acc-EUW
113,douyin pspwdd#斯巴达,/ru/summoner/kr/douyin+pspwdd-%E6%96%AF%E5%B7%B4%E8%BE%BE
114,Lost Time Memory#ZTMY,/ru/summoner/euw/Lost+Time+Memory-ZTMY
115,Stanley#88888,/ru/summoner/eune/Stanley-88888
116,aphelios gayming#phel,/ru/summoner/tr/aphelios+gayming-phel
117,xxgg#zypp,/ru/summoner/kr/xxgg-zypp
118,SIXTY5#EUW,/ru/summoner/euw/SIXTY5-EUW
119,오브크#케이알원,/ru/summoner/kr/%EC%98%A4%EB%B8%8C%ED%81%AC-%EC%BC%80%EC%9D%B4%EC%95%8C%EC%9B%90
120,Happy#day12,/ru/summoner/kr/Happy-day12
121,LOLOFLEGENDS4321#fuuuu,/ru/summoner/br/LOLOFLEGENDS4321-fuuuu
122,태기베어#KR2,/ru/summoner/kr/%ED%83%9C%EA%B8%B0%EB%B2%A0%EC%96%B4-KR2
123,Yondaime#Luo,/ru/summoner/kr/Yondaime-Luo
124,Cloud#KR07,/ru/summoner/kr/Cloud-KR07
125,小西寶寶#0712,/ru/summoner/tw/%E5%B0%8F%E8%A5%BF%E5%AF%B6%E5%AF%B6-0712
126,DEAFEN TO RANK 1#IzyQ,/ru/summoner/eune/DEAFEN+TO+RANK+1-IzyQ
127,Uxiê#LAS,/ru/summoner/las/Uxi%C3%AA-LAS
128,Kangin#최강인,/ru/summoner/kr/Kangin-%EC%B5%9C%EA%B0%95%EC%9D%B8
129,FSZ#EUW3,/ru/summoner/euw/FSZ-EUW3
130,Deádly#EUW,/ru/summoner/euw/De%C3%A1dly-EUW
131,투정꾼#GEN,/ru/summoner/kr/%ED%88%AC%EC%A0%95%EA%BE%BC-GEN
132,Night Lovell#ice,/ru/summoner/na/Night+Lovell-ice
133,HealthandAhn#ROSÉ,/ru/summoner/kr/HealthandAhn-ROS%C3%89
134,God Thunder#nehc,/ru/summoner/kr/God+Thunder-nehc
135,emo jian ke#Lei,/ru/summoner/kr/emo+jian+ke-Lei
136,Anthony Edwards#77777,/ru/summoner/na/Anthony+Edwards-77777
137,TheEliteJohn#Elite,/ru/summoner/na/TheEliteJohn-Elite
138,Trust nobody#닝 닝,/ru/summoner/kr/Trust+nobody-%EB%8B%9D+%EB%8B%9D
139,ikunovo#野原新之助,/ru/summoner/kr/ikunovo-%E9%87%8E%E5%8E%9F%E6%96%B0%E4%B9%8B%E5%8A%A9
140,Chamas Tacos#CHEF,/ru/summoner/eune/Chamas+Tacos-CHEF
141,Sebeks#EUW,/ru/summoner/euw/Sebeks-EUW
142,Tài Lưu#Chann,/ru/summoner/vn/T%C3%A0i+L%C6%B0u-Chann
143,Kohls#Ryze,/ru/summoner/br/Kohls-Ryze
144,8956#123,/ru/summoner/kr/8956-123
145,ev7uzent#kr3,/ru/summoner/br/ev7uzent-kr3
146,长不高的小个子#0702,/ru/summoner/kr/%E9%95%BF%E4%B8%8D%E9%AB%98%E7%9A%84%E5%B0%8F%E4%B8%AA%E5%AD%90-0702
147,JISOO#ANTIV,/ru/summoner/las/JISOO-ANTIV
148,Cupic#Senna,/ru/summoner/euw/Cupic-Senna
149,rianzin#ari,/ru/summoner/br/rianzin-ari
150,1Upset#LAS7,/ru/summoner/las/1Upset-LAS7
151,winstreakos#win,/ru/summoner/euw/winstreakos-win
152,DRX JemDDing#0208,/ru/summoner/kr/DRX+JemDDing-0208
153,yuqi#golem,/ru/summoner/euw/yuqi-golem
154,Celine#설한결,/ru/summoner/kr/Celine-%EC%84%A4%ED%95%9C%EA%B2%B0
155,Douma#LOSE,/ru/summoner/euw/Douma-LOSE
156,Xiee1#0624,/ru/summoner/vn/Xiee1-0624
157,zhinintaishen111#fist,/ru/summoner/las/zhinintaishen111-fist
158,qwerxcvz#skura,/ru/summoner/kr/qwerxcvz-skura
159,Ana de Armas#SMRAD,/ru/summoner/euw/Ana+de+Armas-SMRAD
160,hy442975#N J F,/ru/summoner/kr/hy442975-N+J+F
161,이 차가 식기전에#KR1,/ru/summoner/kr/%EC%9D%B4+%EC%B0%A8%EA%B0%80+%EC%8B%9D%EA%B8%B0%EC%A0%84%EC%97%90-KR1
162,meditation#KR2,/ru/summoner/kr/meditation-KR2
163,Hanipparis#Val,/ru/summoner/lan/Hanipparis-Val
164,Zargana Hunter#ZRGNN,/ru/summoner/tr/Zargana+Hunter-ZRGNN
165,wuwei#0028,/ru/summoner/kr/wuwei-0028
166,Jopa1#EUW,/ru/summoner/euw/Jopa1-EUW
167,TOPKING#LRWIN,/ru/summoner/ph/TOPKING-LRWIN
168,SUPER WARRIOR#2k5,/ru/summoner/vn/SUPER+WARRIOR-2k5
169,ranran#0208,/ru/summoner/kr/ranran-0208
170,WaterEya#KR12,/ru/summoner/kr/WaterEya-KR12
171,T1 Gryffinn#2006,/ru/summoner/kr/T1+Gryffinn-2006
172,baby#zypp,/ru/summoner/kr/baby-zypp
173,jqjin#KR1,/ru/summoner/kr/jqjin-KR1
174,Siyah Kırmızı#4124,/ru/summoner/tr/Siyah+K%C4%B1rm%C4%B1z%C4%B1-4124
175,Breezyyy#NA1,/ru/summoner/na/Breezyyy-NA1
176,Anta#1xd,/ru/summoner/tr/Anta-1xd
177,anonymousPRO69#SWAG,/ru/summoner/las/anonymousPRO69-SWAG
178,FA Listo#2005,/ru/summoner/kr/FA+Listo-2005
179,Ai team#nice,/ru/summoner/kr/Ai+team-nice
180,NS Callme#KR1,/ru/summoner/kr/NS+Callme-KR1
181,Topmira#123k,/ru/summoner/eune/Topmira-123k
182,lcd#Helia,/ru/summoner/vn/lcd-Helia
183,MAKEOUTHILL#一3X,/ru/summoner/euw/MAKEOUTHILL-%E4%B8%803X
